rule_id,rule_name,domain,priority,conditions_json,logic,conclusion_json,explanation,evidence_source,evidence_reference,validation_status
R001,metformin_severe_ckd,diabetes_kidney,critical,"[{""fact"":""medications"",""operator"":""contains"",""value"":""metformin""},{""fact"":""egfr"",""operator"":""<"",""value"":30}]",AND,"{""type"":""contraindication"",""fact"":""metformin_contraindicated"",""value"":true}",Metformin is contraindicated when eGFR is below 30 mL/min/1.73 m².,ADA 2026 Section 11 / FDA metformin guidance,ADA2026_S11,validated
R002,metformin_do_not_initiate_low_egfr,diabetes_kidney,high,"[{""fact"":""medications"",""operator"":""not_contains"",""value"":""metformin""},{""fact"":""egfr"",""operator"":""<"",""value"":45},{""fact"":""type2_diabetes"",""operator"":""=="",""value"":true}]",AND,"{""type"":""medication_consideration"",""fact"":""metformin_not_initiated"",""value"":true}",Metformin should not be initiated when eGFR is below 45 mL/min/1.73 m².,ADA 2026 Sections 9/11,ADA2026_S9_S11,validated
R003,metformin_reassess_egfr_30_44,diabetes_kidney,high,"[{""fact"":""medications"",""operator"":""contains"",""value"":""metformin""},{""fact"":""egfr"",""operator"":"">="",""value"":30},{""fact"":""egfr"",""operator"":""<"",""value"":45}]",AND,"{""type"":""monitoring"",""fact"":""metformin_reassessment_required"",""value"":true}","For people already treated with metformin, reassess benefits/risks and consider dose reduction when eGFR is below 45.",ADA 2026 Sections 9/11,ADA2026_S9_S11,validated
R004,sglt2_ckd_eligible,diabetes_kidney,high,"[{""fact"":""type2_diabetes"",""operator"":""=="",""value"":true},{""fact"":""ckd"",""operator"":""=="",""value"":true},{""fact"":""egfr"",""operator"":"">="",""value"":20}]",AND,"{""type"":""therapy_indication"",""fact"":""sglt2i_consideration"",""value"":true}",SGLT2 inhibitor therapy is recommended for T2D with CKD when eGFR is at least 20.,ADA 2026 Section 11,ADA2026_S11,validated
R005,advanced_ckd_glp1_preferred,diabetes_kidney,high,"[{""fact"":""type2_diabetes"",""operator"":""=="",""value"":true},{""fact"":""egfr"",""operator"":""<"",""value"":30}]",AND,"{""type"":""therapy_indication"",""fact"":""glp1_ra_preferred"",""value"":true}",A GLP-1 receptor agonist is preferred for glycemic management in advanced CKD with eGFR below 30.,ADA 2026 Section 9,ADA2026_S9,validated
R006,annual_kidney_screening_t2d,screening,medium,"[{""fact"":""type2_diabetes"",""operator"":""=="",""value"":true}]",AND,"{""type"":""screening"",""fact"":""annual_uacr_egfr_required"",""value"":true}",People with type 2 diabetes should have UACR and eGFR assessed at least annually.,ADA 2026 Section 11,ADA2026_S11,validated
R007,ckd_monitoring_1_4_times,screening,medium,"[{""fact"":""ckd"",""operator"":""=="",""value"":true}]",AND,"{""type"":""monitoring"",""fact"":""uacr_egfr_1_to_4_times_yearly"",""value"":true}",People with CKD should have urinary albumin and eGFR monitored 1–4 times per year depending on stage.,ADA 2026 Section 11,ADA2026_S11,validated
R008,ckd_complication_screening,ckd,medium,"[{""fact"":""egfr"",""operator"":""<"",""value"":60}]",AND,"{""type"":""screening"",""fact"":""ckd_complication_screening_required"",""value"":true}","When eGFR is below 60, screening for CKD complications is indicated.",ADA 2026 Section 11,ADA2026_S11,validated
R009,severe_albuminuria,ckd,high,"[{""fact"":""uacr"",""operator"":"">="",""value"":300}]",AND,"{""type"":""risk_classification"",""fact"":""severely_elevated_albuminuria"",""value"":true}",UACR of at least 300 mg/g is severely elevated albuminuria.,ADA 2026 Section 11,ADA2026_S11,validated
R010,moderate_albuminuria,ckd,medium,"[{""fact"":""uacr"",""operator"":"">="",""value"":30},{""fact"":""uacr"",""operator"":""<"",""value"":300}]",AND,"{""type"":""risk_classification"",""fact"":""moderately_elevated_albuminuria"",""value"":true}",UACR 30–299 mg/g is moderately elevated albuminuria.,ADA 2026 Section 11,ADA2026_S11,validated
